2026-06-17 20:28:13,051 | INFO | ======================================================================
2026-06-17 20:28:13,053 | INFO | PROCESSING: Bharat_Ek_Khoj_Ep_016_without_cc (Reusing saved BLIP captions)
2026-06-17 20:28:13,060 | INFO | ======================================================================
2026-06-17 20:28:13,064 | INFO | Loaded 394 BLIP captions from previous log.
2026-06-17 20:28:16,406 | INFO | Detected Scene from saved captions: forest_jungle
2026-06-17 20:28:16,406 | INFO | Extracting audio from: data\Bharat_Ek_Khoj_Ep_016_without_cc.mp4
2026-06-17 20:33:37,622 | INFO | Detected 200 audio events
2026-06-17 20:33:37,632 | INFO |   0.20s | Bird vocalization, bird call, bird song | Audio=0.79 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:37,933 | INFO |   1.20s | Bird vocalization, bird call, bird song | Audio=0.66 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:38,118 | INFO |   2.60s | Bird vocalization, bird call, bird song | Audio=0.93 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:38,338 | INFO |   3.20s | Bird vocalization, bird call, bird song | Audio=0.79 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:38,519 | INFO |   4.20s | Bird vocalization, bird call, bird song | Audio=0.70 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:38,746 | INFO |   5.00s | Bird vocalization, bird call, bird song | Audio=0.74 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:38,988 | INFO |   5.60s | Bird vocalization, bird call, bird song | Audio=0.62 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:39,166 | INFO |   6.80s | Bird vocalization, bird call, bird song | Audio=0.71 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:39,339 | INFO |   7.80s | Bird vocalization, bird call, bird song | Audio=0.67 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:39,501 | INFO |   8.60s | Rodents, rats, mice                    | Audio=0.26 | Boost=0.00 | SKIPPED
2026-06-17 20:33:39,501 | INFO |  10.00s | Speech                                 | Audio=0.86 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:39,667 | INFO |  11.00s | Speech                                 | Audio=0.88 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:39,817 | INFO |  11.80s | Speech                                 | Audio=0.85 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:39,959 | INFO |  12.40s | Speech                                 | Audio=0.85 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:40,089 | INFO |  13.20s | Speech                                 | Audio=0.89 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:40,221 | INFO |  14.00s | Speech                                 | Audio=0.83 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:40,377 | INFO |  15.00s | Speech                                 | Audio=0.90 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:40,530 | INFO |  16.00s | Speech                                 | Audio=0.88 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:40,673 | INFO |  17.60s | Speech                                 | Audio=0.86 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:40,839 | INFO |  18.40s | Speech                                 | Audio=0.82 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:40,968 | INFO |  19.40s | Speech                                 | Audio=0.85 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:41,087 | INFO |  20.00s | Speech                                 | Audio=0.75 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:41,226 | INFO |  22.00s | Speech                                 | Audio=0.82 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:41,342 | INFO |  22.60s | Speech                                 | Audio=0.83 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:41,472 | INFO |  23.60s | Speech                                 | Audio=0.85 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:41,609 | INFO |  24.20s | Speech                                 | Audio=0.79 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:41,745 | INFO |  25.20s | Speech                                 | Audio=0.86 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:41,873 | INFO |  25.80s | Speech                                 | Audio=0.79 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:41,984 | INFO |  26.80s | Speech                                 | Audio=0.84 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:42,112 | INFO |  27.40s | Speech                                 | Audio=0.82 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:42,266 | INFO |  28.20s | Speech                                 | Audio=0.75 | Boost=0.00 | SKIPPED
2026-06-17 20:33:42,266 | INFO |  29.80s | Speech                                 | Audio=0.76 | Boost=0.00 | ACCEPTED
2026-06-17 20:33:42,376 | INFO |  30.80s | Animal                                 | Audio=0.31 | Boost=0.00 | SKIPPED
2026-06-17 20:33:42,376 | INFO |  31.40s | Animal                                 | Audio=0.19 | Boost=0.00 | SKIPPED
2026-06-17 20:33:42,376 | INFO |  33.20s | Bird vocalization, bird call, bird song | Audio=0.71 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:42,503 | INFO |  35.00s | Bird vocalization, bird call, bird song | Audio=0.75 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:42,624 | INFO |  36.40s | Bird vocalization, bird call, bird song | Audio=0.79 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:42,757 | INFO |  37.60s | Bird vocalization, bird call, bird song | Audio=0.78 | Boost=0.55 | ACCEPTED
2026-06-17 20:33:42,895 | INFO |  38.20s | Fowl                                   | Audio=0.53 | Boost=0.00 | SKIPPED
2026-06-17 20:33:42,895 | INFO |  39.80s | Bird vocalization, bird call, bird song | Audio=0.67 | Boost=0.55 | ACCEPTED
