2026-08-28 17:24:09,279 | INFO | ======================================================================
2026-08-28 17:24:09,279 | INFO | PROCESSING: Circus_Ep_003 (PANNs + GPT-4o-mini)
2026-08-28 17:24:09,279 | INFO | ======================================================================
2026-08-28 17:24:11,162 | INFO | Loaded 196 vision entries.
2026-08-28 17:24:15,996 | INFO | [0.0s] palette top-5: ['Sound effect', 'White noise', 'Humming', 'Environmental noise', 'Ambient music'] | expr=[]
2026-08-28 17:24:16,180 | INFO | [24.1s] palette top-5: ['Wind chime', 'Environmental noise', 'Pink noise', 'Frog', 'Inside, public space'] | expr=[]
2026-08-28 17:24:16,382 | INFO | [33.1s] palette top-5: ['Wind chime', 'Environmental noise', 'Wind', 'Noise', 'Wind noise (microphone)'] | expr=[]
2026-08-28 17:24:16,631 | INFO | [48.2s] palette top-5: ['Environmental noise', 'Frog', 'Wind chime', 'Mosquito', 'Insect'] | expr=[]
2026-08-28 17:24:16,841 | INFO | [66.2s] palette top-5: ['Frog', 'Raindrop', 'Rain', 'Wind chime', 'Background music'] | expr=[]
2026-08-28 17:24:17,034 | INFO | [72.3s] palette top-5: ['Frog', 'Water', 'Rain', 'Owl', 'Raindrop'] | expr=[]
2026-08-28 17:24:17,253 | INFO | [78.3s] palette top-5: ['Environmental noise', 'Ambient music', 'Noise', 'Wind chime', 'White noise'] | expr=[]
2026-08-28 17:24:17,442 | INFO | [81.3s] palette top-5: ['Mosquito', 'Insect', 'Wind chime', 'Frog', 'Environmental noise'] | expr=[]
2026-08-28 17:24:17,629 | INFO | [84.3s] palette top-5: ['Zipper (clothing)', 'Lullaby'] | expr=[]
2026-08-28 17:24:17,795 | INFO | [87.4s] palette top-5: ['Frog', 'Lullaby', 'Mosquito', 'Waterfall', 'Environmental noise'] | expr=[]
2026-08-28 17:24:17,970 | INFO | [90.4s] palette top-5: ['Frog', 'Waterfall', 'Rain', 'Bathtub (filling or washing)', 'Lullaby'] | expr=[]
2026-08-28 17:24:18,162 | INFO | [93.4s] palette top-5: ['Environmental noise', 'Ambient music', 'Noise', 'Lullaby', 'Wind chime'] | expr=[]
2026-08-28 17:24:18,369 | INFO | [96.4s] palette top-5: ['Rain', 'Wind chime', 'Environmental noise', 'Frog', 'Mosquito'] | expr=[]
2026-08-28 17:24:18,481 | INFO | [99.4s] palette top-5: ['Wind chime', 'Rain', 'Frog', 'Environmental noise', 'Wind'] | expr=[]
2026-08-28 17:24:18,596 | INFO | [102.4s] palette top-5: ['Wind chime', 'Rain', 'Frog', 'Environmental noise', 'Wind'] | expr=[]
2026-08-28 17:24:18,767 | INFO | [105.4s] palette top-5: ['Frog', 'Rain', 'Lullaby', 'Water', 'Owl'] | expr=[]
2026-08-28 17:24:18,986 | INFO | [108.4s] palette top-5: ['Frog', 'Waterfall', 'Rain', 'Mosquito', 'Zipper (clothing)'] | expr=[]
2026-08-28 17:24:19,199 | INFO | [126.5s] palette top-5: ['Crowd', 'Rain', 'Waterfall', 'Frog', 'Raindrop'] | expr=[]
2026-08-28 17:24:19,343 | INFO | [141.6s] palette top-5: ['Frog', 'Rain', 'Crowd', 'Waterfall', 'Mosquito'] | expr=[]
2026-08-28 17:24:19,591 | INFO | [147.6s] palette top-5: ['Environmental noise', 'Sound effect', 'Humming', 'Noise', 'White noise'] | expr=[]
2026-08-28 17:24:19,774 | INFO | [156.6s] palette top-5: ['Environmental noise', 'Humming', 'Sound effect', 'Noise', 'Wind chime'] | expr=[]
2026-08-28 17:24:19,957 | INFO | [159.6s] palette top-5: ['Environmental noise', 'Humming', 'Sound effect', 'Noise', 'Wind chime'] | expr=[]
2026-08-28 17:24:20,154 | INFO | [180.7s] palette top-5: ['Crowd'] | expr=[]
2026-08-28 17:24:20,273 | INFO | [183.8s] palette top-5: ['Rain', 'Frog', 'Crowd', 'Waterfall', 'Raindrop'] | expr=[]
2026-08-28 17:24:20,466 | INFO | [198.8s] palette top-5: ['Environmental noise', 'Noise', 'White noise', 'Wind noise (microphone)', 'Bird vocalization, bird call, bird song'] | expr=[]
2026-08-28 17:24:20,670 | INFO | [201.8s] palette top-5: ['Humming', 'Noise', 'Ambient music', 'Sound effect', 'White noise'] | expr=[]
2026-08-28 17:24:20,872 | INFO | [219.9s] palette top-5: ['Environmental noise', 'Ambient music', 'Humming', 'White noise', 'Sound effect'] | expr=[]
2026-08-28 17:24:20,992 | INFO | [222.9s] palette top-5: ['Frog', 'Hands', 'Rain', 'Water', 'Raindrop'] | expr=[]
2026-08-28 17:24:21,112 | INFO | [225.9s] palette top-5: ['Frog', 'Wind chime', 'Psychedelic rock', 'Environmental noise', 'Buzzer'] | expr=[]
2026-08-28 17:24:21,226 | INFO | [229.0s] palette top-5: ['Frog', 'Rain', 'Sound effect', 'Environmental noise', 'Wind chime'] | expr=[]
2026-08-28 17:24:21,336 | INFO | [232.0s] palette top-5: ['Frog', 'Environmental noise', 'Sound effect', 'Reverberation', 'Rain'] | expr=[]
2026-08-28 17:24:21,555 | INFO | [235.0s] palette top-5: ['Environmental noise', 'Noise', 'Sound effect', 'Humming', 'Ambient music'] | expr=[]
2026-08-28 17:24:21,725 | INFO | [238.0s] palette top-5: ['Frog', 'Hands', 'Humming', 'Wind chime', 'Rain'] | expr=[]
2026-08-28 17:24:21,929 | INFO | [253.0s] palette top-5: ['Environmental noise', 'Ambient music', 'Sound effect', 'Noise', 'Humming'] | expr=[]
2026-08-28 17:24:22,040 | INFO | [268.1s] palette top-5: ['Humming', 'Ambient music', 'Sound effect', 'Noise', 'White noise'] | expr=[]
2026-08-28 17:24:22,154 | INFO | [271.1s] palette top-5: ['Environmental noise', 'White noise', 'Humming', 'Ambient music', 'Sound effect'] | expr=[]
2026-08-28 17:24:22,269 | INFO | [298.2s] palette top-5: ['Frog', 'Wind chime', 'Hands', 'Rain', 'Rattle'] | expr=[]
2026-08-28 17:24:22,466 | INFO | [301.2s] palette top-5: ['Frog', 'Wind chime', 'Wind', 'Rain', 'Raindrop'] | expr=[]
2026-08-28 17:24:22,661 | INFO | [304.2s] palette top-5: ['Wind chime', 'Environmental noise', 'Frog', 'Rain', 'Wind noise (microphone)'] | expr=[]
2026-08-28 17:24:22,847 | INFO | [331.4s] palette top-5: ['Wind chime', 'Environmental noise', 'Wind', 'White noise', 'Noise'] | expr=[]
2026-08-28 17:24:23,017 | INFO | [334.4s] palette top-5: ['Wind chime', 'Mosquito', 'Rain', 'Environmental noise', 'Insect'] | expr=[]
2026-08-28 17:24:23,199 | INFO | [343.4s] palette top-5: ['Frog', 'Rain', 'Waterfall', 'Whale vocalization', 'Splash, splatter'] | expr=[]
2026-08-28 17:24:23,428 | INFO | [349.4s] palette top-5: ['Frog', 'Rain', 'Waterfall', 'Civil defense siren', 'Wind chime'] | expr=[]
2026-08-28 17:24:23,642 | INFO | [355.5s] palette top-5: ['Wind noise (microphone)', 'Environmental noise', 'Sound effect', 'Wind chime', 'Frog'] | expr=[]
2026-08-28 17:24:23,906 | INFO | [358.5s] palette top-5: ['Frog', 'Hands', 'Inside, public space', 'Wind chime', 'Rain'] | expr=[]
2026-08-28 17:24:24,101 | INFO | [361.5s] palette top-5: ['Rain', 'Waterfall', 'Inside, public space', 'Frog', 'Splash, splatter'] | expr=[]
2026-08-28 17:24:24,334 | INFO | [376.6s] palette top-5: ['Bird vocalization, bird call, bird song', 'Bird', 'Whale vocalization', 'Female singing', 'Humming'] | expr=[]
2026-08-28 17:24:24,461 | INFO | [385.6s] palette top-5: ['Sound effect', 'Ambient music', 'White noise', 'Chorus effect', 'Ringtone'] | expr=[]
2026-08-28 17:24:24,594 | INFO | [388.6s] palette top-5: ['Environmental noise', 'Sound effect', 'Ambient music', 'Humming', 'Noise'] | expr=[]
2026-08-28 17:24:24,820 | INFO | [403.7s] palette top-5: ['Sound effect', 'Environmental noise', 'Ambient music', 'House music', 'Humming'] | expr=[]
2026-08-28 17:24:24,949 | INFO | [406.7s] palette top-5: ['Sound effect', 'Environmental noise', 'Ambient music', 'House music', 'Humming'] | expr=[]
2026-08-28 17:24:25,073 | INFO | [409.7s] palette top-5: ['Sound effect', 'Environmental noise', 'Ambient music', 'House music', 'Humming'] | expr=[]
2026-08-28 17:24:25,280 | INFO | [418.7s] palette top-5: ['Female singing', 'Sidetone', 'Sound effect', 'Chorus effect', 'White noise'] | expr=[]
2026-08-28 17:24:25,410 | INFO | [421.8s] palette top-5: ['Sound effect', 'Frog', 'Humming', 'Sidetone', 'Female singing'] | expr=[]
2026-08-28 17:24:25,646 | INFO | [424.8s] palette top-5: ['Sound effect', 'Ambient music', 'Chorus effect', 'Environmental noise', 'Ringtone'] | expr=[]
2026-08-28 17:24:25,778 | INFO | [427.8s] palette top-5: ['Environmental noise', 'Ambient music', 'Noise', 'Wind chime', 'White noise'] | expr=[]
2026-08-28 17:24:25,969 | INFO | [433.8s] palette top-5: ['Environmental noise', 'Ambient music', 'Female singing', 'Wind chime', 'Noise'] | expr=[]
2026-08-28 17:24:26,084 | INFO | [436.8s] palette top-5: ['Sound effect', 'Ambient music', 'Environmental noise', 'House music', 'Humming'] | expr=[]
2026-08-28 17:24:26,206 | INFO | [439.8s] palette top-5: ['Environmental noise', 'Noise', 'Humming', 'Sound effect', 'Ambient music'] | expr=[]
2026-08-28 17:24:26,328 | INFO | [442.8s] palette top-5: ['Environmental noise', 'Ambient music', 'Sound effect', 'Noise', 'White noise'] | expr=[]
2026-08-28 17:24:26,448 | INFO | [445.8s] palette top-5: ['Bird vocalization, bird call, bird song', 'Frog', 'Bird', 'Roaring cats (lions, tigers)', 'Humming'] | expr=[]
2026-08-28 17:24:26,677 | INFO | [448.9s] palette top-5: ['Bird', 'Animal', 'Pigeon, dove', 'Bird flight, flapping wings', 'Snake'] | expr=[]
2026-08-28 17:24:26,806 | INFO | [451.9s] palette top-5: ['Bird', 'Bird vocalization, bird call, bird song', 'Frog', 'Bird flight, flapping wings', 'Animal'] | expr=[]
2026-08-28 17:24:27,001 | INFO | [454.9s] palette top-5: ['Bird vocalization, bird call, bird song', 'Bird', 'Frog', 'Humming', 'Wind chime'] | expr=[]
2026-08-28 17:24:27,132 | INFO | [457.9s] palette top-5: ['Bird', 'Bird vocalization, bird call, bird song', 'Animal', 'Crow', 'Whale vocalization'] | expr=[]
2026-08-28 17:24:27,256 | INFO | [460.9s] palette top-5: ['Bird', 'Bird vocalization, bird call, bird song', 'Frog', 'Animal', 'Snake'] | expr=[]
2026-08-28 17:24:27,390 | INFO | [500.1s] palette top-5: ['Frog', 'Rain', 'Environmental noise', 'Water', 'Raindrop'] | expr=[]
2026-08-28 17:24:27,616 | INFO | [503.1s] palette top-5: ['Frog', 'Crowd', 'Horse', 'Waterfall', 'Rain'] | expr=[]
